"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-15","AR","A+",3016,2672,26,344,10096,10096,1070,105,,382,1712879,7036,,,1712879,1099,190,189198,161592,1691,0,,3300,,33593,,165467,,0,1874471,8272,,21856,,183346,,0,1874471,8272
"2020-12-14","AR","A+",2990,2656,45,334,9991,9991,1050,64,,372,1705843,9262,,,1705843,1095,180,187507,160356,1805,0,,3300,,32616,,163351,,0,1866199,10495,,21856,,179158,,0,1866199,10495
"2020-12-13","AR","A+",2945,2633,34,312,9927,9927,1057,16,,370,1696581,11425,,,1696581,1091,181,185702,159123,1450,0,,3300,,32382,,161337,,0,1855704,12673,,21856,,178183,,0,1855704,12673
"2020-12-12","AR","A+",2911,2619,36,292,9911,9911,1071,63,,374,1685156,12988,,,1685156,1091,177,184252,157875,2628,0,,3300,,32114,,159827,,0,1843031,14852,,21856,,177317,,0,1843031,14852
"2020-12-11","AR","A+",2875,2588,55,287,9848,9848,1059,139,,372,1672168,13243,,,1672168,1089,185,181624,156011,2770,0,,3300,,31180,,158018,,0,1828179,15181,,21856,,173190,,0,1828179,15181
"2020-12-10","AR","A+",2820,2559,34,261,9709,9709,1005,34,,372,1658925,11260,,,1658925,1071,181,178854,154073,2202,0,,3300,,30172,,156286,,0,1812998,12964,,21856,,169319,,0,1812998,12964
"2020-12-09","AR","A+",2786,2552,34,234,9675,9675,1064,98,,375,1647665,14779,,,1647665,1068,179,176652,152369,2327,0,,3300,,29539,,155077,,0,1800034,16536,,21856,,167609,,0,1800034,16536
"2020-12-08","AR","A+",2752,2521,39,231,9577,9577,1081,132,,394,1632886,8988,,,1632886,1060,182,174325,150612,2283,0,,3300,,28844,,153088,,0,1783498,10425,,21856,,162935,,0,1783498,10425
"2020-12-07","AR","A+",2713,2485,53,228,9445,9445,1053,44,,382,1623898,8919,,,1623898,1044,182,172042,149175,1118,0,,3300,,27881,,151248,,0,1773073,9923,,21856,,156801,,0,1773073,9923
"2020-12-06","AR","A+",2660,2437,40,223,9401,9401,1076,21,,374,1614979,13244,,,1614979,1038,179,170924,148171,1542,0,,3300,,27710,,149490,,0,1763150,14704,,21856,,155934,,0,1763150,14704
"2020-12-05","AR","A+",2620,2402,34,218,9380,9380,1056,51,,359,1601735,11959,,,1601735,1038,178,169382,146711,2245,0,,3300,,27547,,148131,,0,1748446,13760,,21856,,155355,,0,1748446,13760
"2020-12-04","AR","A+",2586,2370,31,216,9329,9329,1041,123,,373,1589776,13097,,,1589776,1034,191,167137,144910,2827,0,,3300,,26989,,146496,,0,1734686,15285,,21856,,152332,,0,1734686,15285
"2020-12-03","AR","A+",2555,2343,33,212,9206,9206,1072,96,,375,1576679,14118,,,1576679,1025,190,164310,142722,2789,0,,3300,,26171,,144624,,0,1719401,16135,,21856,,149069,,0,1719401,16135
"2020-12-02","AR","A+",2522,2312,10,210,9110,9110,1088,89,,393,1562561,10306,,,1562561,1002,186,161521,140705,2212,0,,3300,,25241,,142600,,0,1703266,11813,,21856,,144866,,0,1703266,11813
"2020-12-01","AR","A+",2512,2304,10,208,9021,9021,1074,84,,403,1552255,6854,,,1552255,994,195,159309,139198,1950,0,,3300,,24423,,140682,,0,1691453,7996,,21856,,141607,,0,1691453,7996
"2020-11-30","AR","A+",2502,2295,32,207,8937,8937,1063,94,,407,1545401,6663,,,1545401,989,211,157359,138056,1112,0,,3300,,23474,,138696,,0,1683457,7629,,21856,,136774,,0,1683457,7629
"2020-11-29","AR","A+",2470,2265,21,205,8843,8843,1030,24,,390,1538738,9224,,,1538738,975,185,156247,137090,1221,0,,3300,,23208,,136872,,0,1675828,10243,,21856,,135709,,0,1675828,10243
"2020-11-28","AR","A+",2449,2249,13,200,8819,8819,1010,40,,399,1529514,8424,,,1529514,971,183,155026,136071,1349,0,,3300,,22878,,135614,,0,1665585,9591,,21856,,134910,,0,1665585,9591
"2020-11-27","AR","A+",2436,2237,0,199,8779,8779,1011,68,,406,1521090,7888,,,1521090,966,192,153677,134904,1052,0,,3300,,22570,,134312,,0,1655994,8850,,21856,,133559,,0,1655994,8850
"2020-11-26","AR","A+",2436,2237,11,199,8711,8711,1003,0,,406,1513202,12945,,,1513202,960,169,152625,133942,2348,0,,3300,,22406,,132580,,0,1647144,14638,,21856,,132849,,0,1647144,14638
"2020-11-25","AR","A+",2425,2227,20,198,8711,8711,1028,91,,400,1500257,13180,,,1500257,960,191,150277,132249,1965,0,,3300,,21612,,130818,,0,1632506,14603,,21856,,127630,,0,1632506,14603
"2020-11-24","AR","A+",2405,2208,18,197,8620,8620,988,97,,387,1487077,11309,,,1487077,951,160,148312,130826,2122,0,,3300,,20993,,128831,,0,1617903,12730,,21856,,122446,,0,1617903,12730
"2020-11-23","AR","A+",2387,2191,30,196,8523,8523,974,51,,384,1475768,9314,,,1475768,945,164,146190,129405,1017,0,,3300,,20161,,127059,,0,1605173,10226,,21856,,118613,,0,1605173,10226
"2020-11-22","AR","A+",2357,2161,20,196,8472,8472,962,57,,371,1466454,12729,,,1466454,938,163,145173,128493,1352,0,,3300,,19952,,125153,,0,1594947,14006,,21856,,116897,,0,1594947,14006
"2020-11-21","AR","A+",2337,2141,16,196,8415,8415,922,62,,354,1453725,13635,,,1453725,934,154,143821,127216,1905,0,,3300,,19739,,123722,,0,1580941,15068,,21856,,116069,,0,1580941,15068
"2020-11-20","AR","A+",2321,2125,24,196,8353,8353,928,85,,359,1440090,11805,,,1440090,932,146,141916,125783,2061,0,,3300,,19098,,122219,,0,1565873,13423,,21856,,112784,,0,1565873,13423
"2020-11-19","AR","A+",2297,2105,22,192,8268,8268,891,129,,353,1428285,12983,,,1428285,925,143,139855,124165,2238,0,,3300,,18437,,120545,,0,1552450,14667,,21856,,107231,,0,1552450,14667
"2020-11-18","AR","A+",2275,2085,30,190,8139,8139,893,89,,339,1415302,11176,,,1415302,916,142,137617,122481,1715,0,,3300,,17763,,118751,,0,1537783,12504,,21856,,103757,,0,1537783,12504
"2020-11-17","AR","A+",2245,2057,20,188,8050,8050,902,101,,346,1404126,7268,,,1404126,909,133,135902,121153,1554,0,,3300,,17252,,117068,,0,1525279,8413,,21856,,101145,,0,1525279,8413
"2020-11-16","AR","A+",2225,2038,42,187,7949,7949,861,73,,346,1396858,10147,,,1396858,902,123,134348,120008,1308,0,,3300,,16718,,115625,,0,1516866,11312,,21856,,97104,,0,1516866,11312
"2020-11-15","AR","A+",2183,2000,35,183,7876,7876,830,29,,317,1386711,19634,,,1386711,896,116,133040,118843,2722,0,,3300,,16445,,114312,,0,1505554,21690,,21856,,95814,,0,1505554,21690
"2020-11-14","AR","A+",2148,1968,0,180,7847,7847,799,30,,291,1367077,0,,,1367077,894,114,130318,116787,0,0,,3300,,15578,,112383,,0,1483864,0,,21856,,92030,,0,1483864,0
"2020-11-13","AR","A+",2148,1968,4,180,7817,7817,826,102,,292,1367077,12158,,,1367077,891,114,130318,116787,2312,0,,3300,,15578,,112383,,0,1483864,13717,,21856,,92030,,0,1483864,13717
"2020-11-12","AR","A+",2144,1964,18,180,7715,7715,805,80,,295,1354919,11868,,,1354919,887,116,128006,115228,1809,0,,3300,,14698,,111357,,0,1470147,13153,,21856,,87860,,0,1470147,13153
