"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-15","DC","A+",720,,4,,,,224,0,,75,766645,8704,,,,,26,25339,,301,0,,,,,,18137,791984,9005,791984,9005,,,,,333298,2205,,0
"2020-12-14","DC","A+",716,,1,,,,239,0,,63,757941,4550,,,,,34,25038,,164,0,,,,,,17914,782979,4714,782979,4714,,,,,331093,1317,,0
"2020-12-13","DC","A+",715,,2,,,,225,0,,58,753391,7120,,,,,30,24874,,231,0,,,,,,17745,778265,7351,778265,7351,,,,,329776,1909,,0
"2020-12-12","DC","A+",713,,4,,,,230,0,,59,746271,7882,,,,,30,24643,,286,0,,,,,,17618,770914,8168,770914,8168,,,,,327867,3004,,0
"2020-12-11","DC","A+",709,,1,,,,224,0,,58,738389,4654,,,,,30,24357,,259,0,,,,,,17493,762746,4913,762746,4913,,,,,324863,1377,,0
"2020-12-10","DC","A+",708,,4,,,,217,0,,57,733735,5082,,,,,26,24098,,244,0,,,,,,17291,757833,5326,757833,5326,,,,,323486,1506,,0
"2020-12-09","DC","A+",704,,3,,,,203,0,,58,728653,6611,,,,,23,23854,,265,0,,,,,,17081,752507,6876,752507,6876,,,,,321980,995,,0
"2020-12-08","DC","A+",701,,0,,,,205,0,,55,722042,6277,,,,,24,23589,,270,0,,,,,,16884,745631,6547,745631,6547,,,,,320985,1798,,0
"2020-12-07","DC","A+",701,,4,,,,176,0,,51,715765,4268,,,,,24,23319,,183,0,,,,,,16733,739084,4451,739084,4451,,,,,319187,1381,,0
"2020-12-06","DC","A+",697,,2,,,,171,0,,50,711497,6982,,,,,23,23136,,264,0,,,,,,16665,734633,7246,734633,7246,,,,,317806,1988,,0
"2020-12-05","DC","A+",695,,2,,,,193,0,,54,704515,8753,,,,,22,22872,,392,0,,,,,,16596,727387,9145,727387,9145,,,,,315818,2424,,0
"2020-12-04","DC","A+",693,,1,,,,194,0,,51,695762,7935,,,,,21,22480,,316,0,,,,,,16374,718242,8251,718242,8251,,,,,313394,2045,,0
"2020-12-03","DC","A+",692,,2,,,,185,0,,49,687827,8184,,,,,17,22164,,322,0,,,,,,16268,709991,8506,709991,8506,,,,,311349,3185,,0
"2020-12-02","DC","A+",690,,5,,,,165,0,,41,679643,3919,,,,,18,21842,,157,0,,,,,,16070,701485,4076,701485,4076,,,,,308164,828,,0
"2020-12-01","DC","A+",685,,5,,,,160,0,,43,675724,2020,,,,,18,21685,,133,0,,,,,,15914,697409,2153,697409,2153,,,,,307336,889,,0
"2020-11-30","DC","A+",680,,0,,,,158,0,,43,673704,4810,,,,,17,21552,,104,0,,,,,,15746,695256,4914,695256,4914,,,,,306447,884,,0
"2020-11-29","DC","A+",680,,2,,,,145,0,,42,668894,4864,,,,,21,21448,,140,0,,,,,,15671,690342,5004,690342,5004,,,,,305563,1530,,0
"2020-11-28","DC","A+",678,,1,,,,157,0,,41,664030,12528,,,,,16,21308,,371,0,,,,,,15603,685338,12899,685338,12899,,,,,304033,4071,,0
"2020-11-27","DC","A+",677,,0,,,,149,0,,34,651502,9037,,,,,18,20937,,201,0,,,,,,15476,672439,9238,672439,9238,,,,,299962,2529,,0
"2020-11-26","DC","A+",677,,0,,,,146,0,,30,642465,12746,,,,,14,20736,,220,0,,,,,,15401,663201,12966,663201,12966,,,,,297433,3136,,0
"2020-11-25","DC","A+",677,,4,,,,134,0,,36,629719,1206,,,,,19,20516,,107,0,,,,,,15281,650235,1313,650235,1313,,,,,294297,1465,,0
"2020-11-24","DC","A+",673,,1,,,,134,0,,36,628513,9342,,,,,13,20409,,119,0,,,,,,15085,648922,9461,648922,9461,,,,,292832,1804,,0
"2020-11-23","DC","A+",672,,2,,,,135,0,,34,619171,8790,,,,,13,20290,,139,0,,,,,,14935,639461,8929,639461,8929,,,,,291028,2704,,0
"2020-11-22","DC","A+",670,,0,,,,136,0,,33,610381,11558,,,,,17,20151,,190,0,,,,,,14882,630532,11748,630532,11748,,,,,288324,-128,,0
"2020-11-21","DC","A+",670,,1,,,,122,0,,31,598823,6427,,,,,17,19961,,153,0,,,,,,14821,618784,6580,618784,6580,,,,,288452,4949,,0
"2020-11-20","DC","A+",669,,2,,,,126,0,,28,592396,4240,,,,,11,19808,,130,0,,,,,,14699,612204,4370,612204,4370,,,,,283503,1289,,0
