"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-15","GU","B",119,,0,,,,28,0,,9,84460,465,,,,,5,7149,6988,12,0,17,178,,,,6511,,0,91609,477,320,4745,,,,0,91448,475
"2020-12-14","GU","B",119,,1,,,,25,0,,9,83995,965,,,,,5,7137,6978,31,0,17,178,,,,6492,,0,91132,996,320,4736,,,,0,90973,1001
"2020-12-13","GU","B",118,,1,,,,29,0,,7,83030,0,,,,,5,7106,6953,16,0,17,178,,,,6413,,0,90136,16,319,3484,,,,0,89972,0
"2020-12-12","GU","B",117,,2,,,,33,0,,8,83030,0,,,,,7,7090,6953,11,0,17,178,,,,6413,,0,90120,11,319,3484,,,,0,89972,0
"2020-12-11","GU","B",115,,0,,,,36,0,,10,83030,388,,,,,7,7079,6942,27,0,17,178,,,,6413,,0,90109,415,319,3484,,,,0,89972,415
"2020-12-10","GU","B",115,,2,,,,33,0,,10,82642,486,,,,,8,7052,6915,13,0,12,153,,,,6382,,0,89694,499,315,3456,,,,0,89557,499
"2020-12-09","GU","B",113,,0,,,,37,0,,10,82156,568,,,,,8,7039,6902,13,0,12,153,,,,6332,,0,89195,581,314,3439,,,,0,89058,580
"2020-12-08","GU","B",113,,0,,,,33,0,,10,81588,170,,,,,8,7026,6890,7,0,12,153,,,,6248,,0,88614,177,310,3392,,,,0,88478,177
"2020-12-07","GU","B",113,,0,,,,33,0,,10,81418,1847,,,,,8,7019,6883,15,0,12,153,,,,6248,,0,88437,1862,310,3392,,,,0,88301,1903
"2020-12-06","GU","B",113,,0,,,,33,0,,10,79571,0,,,,,6,7004,6827,27,0,12,153,,,,6056,,0,86575,27,227,2591,,,,0,86398,0
"2020-12-05","GU","B",113,,0,,,,38,0,,9,79571,0,,,,,6,6977,6827,18,0,12,153,,,,6056,,0,86548,18,227,2591,,,,0,86398,0
"2020-12-04","GU","B",113,,1,,,,39,0,,8,79571,555,,,,,6,6959,6827,17,0,12,153,,,,6056,,0,86530,572,227,2591,,,,0,86398,580
