"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-15","IA","A+",3340,,67,,,,798,0,,166,903573,1584,,74612,1812659,,88,223511,223511,726,0,,37363,6539,35062,242125,196157,,0,1127084,2310,,693906,81191,160291,1129325,2326,2065300,7573
"2020-12-14","IA","A+",3273,,60,,,,764,0,,160,901989,1554,,74216,1805916,,86,222785,222785,637,0,,36776,6281,34515,241353,190221,,0,1124774,2191,,679284,80537,158857,1126999,2193,2057727,5796
"2020-12-13","IA","A+",3213,,1,,,,749,0,,170,900435,2239,,74202,1800804,,99,222148,222148,989,0,,36441,6272,34211,240688,188924,,0,1122583,3228,,676492,80514,158062,1124806,3272,2051931,7571
"2020-12-12","IA","A+",3212,,15,,,,820,0,,170,898196,2303,,74136,1794468,,94,221159,221159,1245,0,,36318,6246,34082,239592,187458,,0,1119355,3548,,675159,80422,158139,1121534,3550,2044360,10886
"2020-12-11","IA","A+",3197,,77,,,,833,0,,175,895893,2330,,73817,1785001,,97,219914,219914,1537,0,,35889,5990,33673,238221,183216,,0,1115807,3867,,662415,79847,156926,1117984,3849,2033474,11919
"2020-12-10","IA","A+",3120,,99,,,,863,0,,189,893563,2770,,73552,1774745,,114,218377,218377,1683,0,,35178,5806,32994,236590,177803,,0,1111940,4453,,647094,79398,154822,1114135,4454,2021555,12895
"2020-12-09","IA","A+",3021,,102,,,,894,0,,196,890793,2953,,73318,1763766,,120,216694,216694,1797,0,,34767,5635,32596,234720,173440,,0,1107487,4750,,638561,78993,153581,1109681,4733,2008660,14473
"2020-12-08","IA","A+",2919,,201,,,,900,0,,191,887840,1254,,73070,1751325,,111,214897,214897,830,0,,34054,5366,31914,232741,168056,,0,1102737,2084,,625552,78476,151536,1104948,2090,1994187,8234
"2020-12-07","IA","A+",2718,,35,,,,898,0,,200,886586,1387,,72764,1744017,,120,214067,214067,677,0,,33334,5199,31203,231843,160836,,0,1100653,2064,,609129,78003,149492,1102858,2069,1985953,1985953
"2020-12-06","IA","A+",2683,,16,,,,918,0,,195,885199,2588,,72606,,,122,213390,213390,1499,0,,,5189,30921,,159063,,0,1098589,4087,,,77835,148950,1100789,4076,,0
"2020-12-05","IA","A+",2667,,62,,,,960,0,,204,882611,3286,,72534,,,117,211891,211891,1655,0,,,5143,30321,,157026,,0,1094502,4941,,,77717,147321,1096713,4935,,0
"2020-12-04","IA","A+",2605,,83,,,,1000,0,,209,879325,3809,,72136,,,128,210236,210236,2267,0,,,5076,30055,,152331,,0,1089561,6076,,,77252,146793,1091778,6121,,0
"2020-12-03","IA","A+",2522,,73,,,,1124,0,,224,875516,3260,,71784,,,131,207969,207969,2196,0,,,5019,29491,,147169,,0,1083485,5456,,,76843,145053,1085657,5464,,0
"2020-12-02","IA","A+",2449,,18,,,,1162,0,,226,872256,2662,,71511,,,131,205773,205773,2375,0,,,4961,29027,,142246,,0,1078029,5037,,,76512,144130,1080193,5062,,0
"2020-12-01","IA","A+",2431,,28,,,,1172,0,,235,869594,1188,,71228,,,144,203398,203398,988,0,,,4899,28011,,137431,,0,1072992,2176,,,76167,141534,1075131,2198,,0
"2020-11-30","IA","A+",2403,,36,,,,1162,0,,224,868406,1688,,70981,,,147,202410,202410,1143,0,,,4852,27038,,132271,,0,1070816,2831,,,75873,139206,1072933,2820,,0
"2020-11-29","IA","A+",2367,,7,,,,1175,0,,235,866718,2720,,70683,,,151,201267,201267,1584,0,,,4843,26696,,131098,,0,1067985,4304,,,75566,138472,1070113,4335,,0
"2020-11-28","IA","A+",2360,,8,,,,1221,0,,244,863998,1742,,70406,,,146,199683,199683,1461,0,,,4830,26575,,130008,,0,1063681,3203,,,75276,138452,1065778,3195,,0
"2020-11-27","IA","A+",2352,,40,,,,1226,0,,256,862256,1624,,70353,,,141,198222,198222,1136,0,,,4789,26034,,127348,,0,1060478,2760,,,75182,136538,1062583,2778,,0
"2020-11-26","IA","A+",2312,,41,,,,1269,0,,271,860632,4387,,70138,,,142,197086,197086,2691,0,,,4757,25713,,124520,,0,1057718,7078,,,74935,135888,1059805,7111,,0
"2020-11-25","IA","A+",2271,,45,,,,1305,0,,269,856245,2608,,69781,,,198,194395,194395,3243,0,,,4667,25214,,122059,,0,1050640,5851,,,74488,134681,1052694,5059,,0
"2020-11-24","IA","A+",2226,,20,,,,1351,0,,275,853637,3120,,69526,,,155,191152,191152,1296,0,,,4611,24165,,119713,,0,1044789,4416,,,74177,130848,1047635,5207,,0
"2020-11-23","IA","A+",2206,,14,,,,1333,0,,273,850517,4222,,69308,,,135,189856,189856,2351,0,,,4564,23323,,116837,,0,1040373,6573,,,73912,128726,1042428,6581,,0
"2020-11-22","IA","A+",2192,,32,,,,1340,0,,255,846295,4190,,69080,,,132,187505,187505,2537,0,,,4555,23009,,116308,,0,1033800,6727,,,73675,128007,1035847,6733,,0
"2020-11-21","IA","A+",2160,,27,,,,1416,0,,273,842105,4421,,68752,,,137,184968,184968,3178,0,,,4530,22702,,115736,,0,1027073,7599,,,73322,127114,1029114,7622,,0
"2020-11-20","IA","A+",2133,,27,,,,1447,0,,275,837684,4521,,68421,,,144,181790,181790,3477,0,,,4455,22164,,114338,,0,1019474,7998,,,72916,125266,1021492,8010,,0
"2020-11-19","IA","A+",2106,,40,,,,1516,0,,286,833163,4016,,67998,,,135,178313,178313,3474,0,,,4407,21351,,112778,,0,1011476,7490,,,72445,122918,1013482,7657,,0
"2020-11-18","IA","A+",2066,,39,,,,1527,0,,283,829147,3658,,67589,,,134,174839,174839,3294,0,,,4356,20727,,111305,,0,1003986,6952,,,71985,120517,1005825,6968,,0
"2020-11-17","IA","A+",2027,,36,,,,1510,0,,288,825489,1991,,67273,,,130,171545,171545,2192,0,,,4303,19863,,109978,,0,997034,4183,,,71616,117600,998857,4186,,0
"2020-11-16","IA","A+",1991,,6,,,,1392,0,,271,823498,2179,,66913,,,123,169353,169353,2071,0,,,4261,18979,,108187,,0,992851,4250,,,71214,114591,994671,4260,,0
"2020-11-15","IA","A+",1985,,13,,,,1279,0,,247,821319,5161,,66638,,,115,167282,167282,3554,0,,,4244,17874,,107888,,0,988601,8715,,,70922,110636,990411,8702,,0
"2020-11-14","IA","A+",1972,,24,,,,1261,0,,246,816158,4149,,66587,,,107,163728,163728,4093,0,,,4229,17591,,107541,,0,979886,8242,,,70856,110178,981709,8287,,0
"2020-11-13","IA","A+",1948,,18,,,,1227,0,,240,812009,2856,,66226,,,107,159635,159635,4032,0,,,4194,17031,,106529,,0,971644,6888,,,70460,108344,973422,6898,,0
