"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-15","KS","A+",2109,,0,,5895,5895,623,0,1584,182,713714,0,,,,409,88,190018,,0,0,,,,,,3938,,0,903732,0,,,,,903732,0,,0
"2020-12-14","KS","A+",2109,,37,,5895,5895,623,95,1584,182,713714,8291,,,,409,88,190018,,4724,0,,,,,,3938,,0,903732,13015,,,,,903732,13015,,0
"2020-12-13","KS","A+",2072,,0,,5800,5800,1068,0,1564,271,705423,0,,,,409,130,185294,,0,0,,,,,,3891,,0,890717,0,,,,,890717,0,,0
"2020-12-12","KS","A+",2072,,0,,5800,5800,1068,0,1564,271,705423,0,,,,409,130,185294,,0,0,,,,,,3891,,0,890717,0,,,,,890717,0,,0
"2020-12-11","KS","A+",2072,,131,,5800,5800,1068,146,1564,271,705423,9174,,,,409,130,185294,,5491,0,,,,,,3891,,0,890717,14665,,,,,890717,14665,,0
"2020-12-10","KS","A+",1941,,0,,5654,5654,1109,0,1527,301,696249,0,,,,409,136,179803,,0,0,,,,,,3793,,0,876052,0,,,,,876052,0,,0
"2020-12-09","KS","A+",1941,,85,,5654,5654,1109,145,1527,301,696249,8950,,,,409,136,179803,,5778,0,,,,,,3793,,0,876052,14728,,,,,876052,14728,,0
"2020-12-08","KS","A+",1856,,0,,5509,5509,623,0,1474,171,687299,0,,,,409,86,174025,,0,0,,,,,,3675,,0,861324,0,,,,,861324,0,,0
"2020-12-07","KS","A+",1856,,70,,5509,5509,623,92,1474,171,687299,10408,,,,409,86,174025,,5730,0,,,,,,3675,,0,861324,16138,,,,,861324,16138,,0
"2020-12-06","KS","A+",1786,,0,,5417,5417,1143,0,1453,283,676891,0,,,,409,123,168295,,0,0,,,,,,3615,,0,845186,0,,,,,845186,0,,0
"2020-12-05","KS","A+",1786,,0,,5417,5417,1143,0,1453,283,676891,0,,,,409,123,168295,,0,0,,,,,,3615,,0,845186,0,,,,,845186,0,,0
"2020-12-04","KS","A+",1786,,107,,5417,5417,1143,127,1453,283,676891,7770,,,,409,123,168295,,6234,0,,,,,,3615,,0,845186,14004,,,,,845186,14004,,0
"2020-12-03","KS","A+",1679,,0,,5290,5290,854,0,1390,227,669121,0,,,,409,92,162061,,0,0,,,,,,3512,,0,831182,0,,,,,831182,0,,0
"2020-12-02","KS","A+",1679,,119,,5290,5290,1196,185,1390,298,669121,3683,,,,409,125,162061,,4615,0,,,,,,3512,,0,831182,8298,,,,,831182,8298,,0
"2020-12-01","KS","A+",1560,,0,,5105,5105,854,0,1353,227,665438,0,,,,395,92,157446,,0,0,,,,,,3403,,0,822884,0,,,,,822884,0,,0
"2020-11-30","KS","A+",1560,,31,,5105,5105,854,87,1353,227,665438,6035,,,,395,92,157446,,4425,0,,,,,,3403,,0,822884,10460,,,,,822884,10460,,0
"2020-11-29","KS","A+",1529,,0,,5018,5018,802,0,1329,221,659403,0,,,,389,73,153021,,0,0,,,,,,3352,,0,812424,0,,,,,812424,0,,0
"2020-11-28","KS","A+",1529,,0,,5018,5018,802,0,1329,221,659403,0,,,,389,73,153021,,0,0,,,,,,3352,,0,812424,0,,,,,812424,0,,0
"2020-11-27","KS","A+",1529,,26,,5018,5018,802,97,1329,221,659403,8015,,,,389,73,153021,,5224,0,,,,,,3352,,0,812424,13239,,,,,812424,13239,,0
"2020-11-26","KS","A+",1503,,0,,4921,4921,1126,0,1316,272,651388,0,,,,385,102,147797,,0,0,,,,,,3299,,0,799185,0,,,,,799185,0,,0
