"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-15","LA","A",6895,6577,50,318,,,1597,0,,,3565973,31246,,,,,152,272276,252459,2633,0,,,,,,217930,,0,3838249,33879,,156087,,,,0,3818432,33413
"2020-12-14","LA","A",6845,6535,27,310,,,1527,0,,,3534727,9139,,,,,147,269643,250292,1030,0,,,,,,217930,,0,3804370,10169,,152781,,,,0,3785019,10130
"2020-12-13","LA","A",6818,6511,51,307,,,1533,0,,,3525588,50507,,,,,162,268613,249301,4422,0,,,,,,217930,,0,3794201,54929,,152452,,,,0,3774889,54182
"2020-12-12","LA","A",6767,6465,0,302,,,1589,0,,,3475081,0,,,,,167,264191,245626,0,0,,,,,,217930,,0,3739272,0,,147092,,,,0,3720707,0
"2020-12-11","LA","A",6767,6465,43,302,,,1589,0,,,3475081,31545,,,,,167,264191,245626,2862,0,,,,,,217930,,0,3739272,34407,,147092,,,,0,3720707,33736
"2020-12-10","LA","A",6724,6426,40,298,,,1529,0,,,3443536,22542,,,,,180,261329,243435,2415,0,,,,,,217930,,0,3704865,24957,,142606,,,,0,3686971,24629
"2020-12-09","LA","A",6684,6393,32,291,,,1537,0,,,3420994,28170,,,,,177,258914,241348,4352,0,,,,,,217930,,0,3679908,32522,,139641,,,,0,3662342,30842
"2020-12-08","LA","A",6652,6363,45,289,,,1516,0,,,3392824,26136,,,,,165,254562,238676,2426,0,,,,,,202891,,0,3647386,28562,,129429,,,,0,3631500,27933
"2020-12-07","LA","A",6607,6331,23,276,,,1423,0,,,3366688,9728,,,,,161,252136,236879,1013,0,,,,,,202891,,0,3618824,10741,,125278,,,,0,3603567,10738
"2020-12-06","LA","A",6584,6309,36,275,,,1392,0,,,3356960,37603,,,,,162,251123,235869,3946,0,,,,,,202891,,0,3608083,41549,,125101,,,,0,3592829,40993
