"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-15","MS","A+",4252,3555,48,697,7901,7901,1319,0,,310,1079660,0,,,,,187,183300,135105,2205,0,95,,,,,148466,,0,1262960,2205,57605,336269,,,,0,1213929,0
"2020-12-14","MS","A+",4204,3526,5,678,7901,7901,1255,198,,303,1079660,53360,,,,,186,181095,134269,1648,0,95,,,,,148466,,0,1260755,55008,57605,336269,,,,0,1213929,59713
"2020-12-13","MS","A+",4199,3524,19,675,7703,7703,1264,0,,298,1026300,0,,,,,178,179447,133527,1500,0,95,,,,,136627,,0,1205747,1500,54191,282410,,,,0,1154216,0
"2020-12-12","MS","A+",4180,3519,56,661,7703,7703,1264,0,,298,1026300,0,,,,,178,177947,132930,2665,0,95,,,,,136627,,0,1204247,2665,54191,282410,,,,0,1154216,0
"2020-12-11","MS","A+",4124,3493,41,631,7703,7703,1267,0,,295,1026300,0,,,,,177,175282,131924,2327,0,95,,,,,136627,,0,1201582,2327,54191,282410,,,,0,1154216,0
"2020-12-10","MS","A+",4083,3470,42,613,7703,7703,1286,0,,301,1026300,0,,,,,170,172955,130804,2283,0,95,,,,,136627,,0,1199255,2283,54191,282410,,,,0,1154216,0
"2020-12-09","MS","A+",4041,3452,24,589,7703,7703,1241,0,,288,1026300,0,,,,,159,170672,129836,2746,0,95,,,,,136627,,0,1196972,2746,54191,282410,,,,0,1154216,0
"2020-12-08","MS","A+",4017,3442,56,575,7703,7703,1222,0,,288,1026300,0,,,,,168,167926,128635,1732,0,95,,,,,136627,,0,1194226,1732,54191,282410,,,,0,1154216,0
"2020-12-07","MS","A+",3961,3403,0,558,7703,7703,1188,217,,287,1026300,43905,,,,,170,166194,127916,1263,0,95,,,,,136627,,0,1192494,45168,54191,282410,,,,0,1154216,49584
"2020-12-06","MS","A+",3961,3403,12,558,7486,7486,1157,0,,286,982395,0,,,,,165,164931,127320,1473,0,95,,,,,128746,,0,1147326,1473,51554,210647,,,,0,1104632,0
