"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-11-19","NV","A",1953,,6,,,,1288,0,,261,775298,4986,,,,,150,127875,127875,2416,0,,,,,,,1471764,17023,1471764,17023,,,,,903173,7402,1154583,0
"2020-11-18","NV","A+",1947,,3,,,,1246,0,,264,770312,1614,,,,,141,125459,125459,1665,0,,,,,,,1454741,6918,1454741,6918,,,,,895771,3279,1154583,0
"2020-11-17","NV","A+",1944,,27,,,,1159,0,,237,768698,3636,,,,,136,123794,123794,1697,0,,,,,,,1447823,12032,1447823,12032,,,,,892492,5333,1154583,0
"2020-11-16","NV","A+",1917,,8,,,,1157,0,,251,765062,2722,,,,,146,122097,122097,1914,0,,,,,,,1435791,9709,1435791,9709,,,,,887159,4636,1154583,0
"2020-11-15","NV","A+",1909,,1,,,,1025,0,,243,762340,3508,,,,,120,120183,120183,1177,0,,,,,,,1426082,12629,1426082,12629,,,,,882523,4685,1154583,0
"2020-11-14","NV","A+",1908,,15,,,,1025,0,,243,758832,4564,,,,,120,119006,119006,2269,0,,,,,,,1413453,25167,1413453,25167,,,,,877838,6833,1154583,0
"2020-11-13","NV","A+",1893,,13,,,,985,0,,247,754268,3785,,,,,119,116737,116737,1857,0,,,,,,,1388286,12617,1388286,12617,,,,,871005,5642,1154583,0
"2020-11-12","NV","A+",1880,,3,,,,941,0,,229,750483,4575,,,,,115,114880,114880,1469,0,,,,,,,1375669,12785,1375669,12785,,,,,865363,6044,1154583,0
"2020-11-11","NV","A+",1877,,18,,,,950,0,,233,745908,3678,,,,,107,113411,113411,1107,0,,,,,,,1362884,10138,1362884,10138,,,,,859319,4785,1154583,0
"2020-11-10","NV","A+",1859,,7,,,,898,0,,231,742230,2271,,,,,101,112304,112304,1322,0,,,,,,,1352746,8438,1352746,8438,,,,,854534,3593,1154583,0
"2020-11-09","NV","A+",1852,,1,,,,891,0,,254,739959,3733,,,,,100,110982,110982,960,0,,,,,,,1344308,8676,1344308,8676,,,,,850941,4693,1154583,0
"2020-11-08","NV","A+",1851,,1,,,,826,0,,206,736226,2968,,,,,89,110022,110022,1276,0,,,,,,,1335632,9254,1335632,9254,,,,,846248,4244,1154583,0
"2020-11-07","NV","A+",1850,,5,,,,826,0,,206,733258,4766,,,,,89,108746,108746,1824,0,,,,,,,1326378,13886,1326378,13886,,,,,842004,6590,1154583,0
"2020-11-06","NV","A+",1845,,21,,,,770,0,,183,728492,4279,,,,,85,106922,106922,1562,0,,,,,,,1312492,13371,1312492,13371,,,,,835414,5841,1154583,0
"2020-11-05","NV","A+",1824,,10,,,,740,0,,170,724213,4763,,,,,75,105360,105360,1267,0,,,,,,,1299121,12915,1299121,12915,,,,,829573,6030,1154583,0
"2020-11-04","NV","A+",1814,,7,,,,696,0,,162,719450,2579,,,,,72,104093,104093,1068,0,,,,,,,1286206,8262,1286206,8262,,,,,823543,3647,1154583,0
"2020-11-03","NV","A+",1807,,23,,,,695,0,,176,716871,2552,,,,,75,103025,103025,911,0,,,,,,,1277944,7301,1277944,7301,,,,,819896,3463,1154583,0
