"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-15","NJ","A",17872,16004,97,1868,44136,44136,3660,225,,727,6460909,79722,,,,,456,409414,409414,3966,0,,,,,,49245,,0,6870323,83688,,,,,,0,6870323,83688
"2020-12-14","NJ","A",17775,15907,24,1868,43911,43911,3635,77,,704,6381187,184431,,,,,491,405448,405448,4798,0,,,,,,48951,,0,6786635,189229,,,,,,0,6786635,199623
"2020-12-13","NJ","A",17751,15883,19,1868,43834,43834,3591,122,,691,6196756,0,,,,,448,400650,400650,4154,0,,,,,,48654,,0,6597406,4154,,,,,,0,6587012,0
"2020-12-12","NJ","A",17732,15864,70,1868,43712,43712,3543,250,,690,6196756,0,,,,,438,396496,396496,6240,0,,,,,,48184,,0,6593252,6240,,,,,,0,6587012,0
"2020-12-11","NJ","A",17662,15794,54,1868,43462,43462,3571,203,,687,6196756,45607,,,,,421,390256,390256,3650,0,,,,,,47789,,0,6587012,49257,,,,,,0,6587012,49257
"2020-12-10","NJ","A",17608,15740,66,1868,43259,43259,3545,184,,644,6151149,44110,,,,,412,386606,386606,5120,0,,,,,,47364,,0,6537755,49230,,,,,,0,6537755,49230
"2020-12-09","NJ","A",17542,15674,116,1868,43075,43075,3533,256,,630,6107039,134748,,,,,412,381486,381486,4431,0,,,,,,46924,,0,6488525,139179,,,,,,0,6488525,139179
"2020-12-08","NJ","A",17426,15590,90,1836,42819,42819,3481,259,,670,5972291,53494,,,,,422,377055,377055,5476,0,,,,,,46527,,0,6349346,58970,,,,,,0,6349346,68563
"2020-12-07","NJ","A",17336,15500,15,1836,42560,42560,3346,104,,637,5918797,0,,,,,391,371579,371579,3563,0,,,,,,46290,,0,6290376,3563,,,,,,0,6280783,0
"2020-12-06","NJ","A",17321,15485,15,1836,42456,42456,3241,95,,622,5918797,0,,,,,396,368016,368016,6030,0,,,,,,46021,,0,6286813,6030,,,,,,0,6280783,0
"2020-12-05","NJ","A",17306,15470,51,1836,42361,42361,3264,198,,628,5918797,92960,,,,,384,361986,361986,5324,0,,,,,,45562,,0,6280783,98284,,,,,,0,6280783,103947
"2020-12-04","NJ","A",17255,15419,46,1836,42163,42163,3315,176,,615,5825837,0,,,,,386,356662,356662,5663,0,,,,,,45139,,0,6182499,5663,,,,,,0,6176836,0
"2020-12-03","NJ","A",17209,15373,64,1836,41987,41987,3292,242,,610,5825837,38456,,,,,366,350999,350999,4793,0,,,,,,44777,,0,6176836,43249,,,,,,0,6176836,43249
"2020-12-02","NJ","A",17145,15309,62,1836,41745,41745,3287,440,,599,5787381,38189,,,,,354,346206,346206,4296,0,,,,,,44380,,0,6133587,42485,,,,,,0,6133587,47091
"2020-12-01","NJ","A",17083,15254,90,1829,41305,41305,3129,92,,601,5749192,0,,,,,359,341910,341910,4606,0,,,,,,44013,,0,6091102,4606,,,,,,0,6086496,0
"2020-11-30","NJ","A",16993,15164,15,1829,41213,41213,2961,0,,575,5749192,135883,,,,,332,337304,337304,3190,0,,,,,,43771,,0,6086496,139073,,,,,,0,6086496,142912
"2020-11-29","NJ","A",16978,15149,13,1829,41213,41213,2877,95,,559,5613309,0,,,,,304,334114,334114,3839,0,,,,,,43504,,0,5947423,3839,,,,,,0,5943584,0
"2020-11-28","NJ","A",16965,15136,23,1829,41118,41118,2830,136,,560,5613309,103875,,,,,305,330275,330275,3802,0,,,,,,43167,,0,5943584,107677,,,,,,0,5943584,116245
"2020-11-27","NJ","A",16942,15113,17,1829,40982,40982,2796,152,,559,5509434,0,,,,,279,326473,326473,4095,0,,,,,,42923,,0,5835907,4095,,,,,,0,5827339,0
"2020-11-26","NJ","A",16925,15096,39,1829,40830,40830,2831,124,,550,5509434,0,,,,,284,322378,322378,4473,0,,,,,,42489,,0,5831812,4473,,,,,,0,5827339,0
"2020-11-25","NJ","A",16886,15057,67,1829,40706,40706,2902,234,,545,5509434,97718,,,,,281,317905,317905,4042,0,,,,,,42125,,0,5827339,101760,,,,,,0,5827339,101760
"2020-11-24","NJ","A",16819,15007,47,1812,40472,40472,2785,250,,522,5411716,46038,,,,,265,313863,313863,4275,0,,,,,,41781,,0,5725579,50313,,,,,,0,5725579,50313
"2020-11-23","NJ","A",16772,14960,11,1812,40222,40222,2693,123,,537,5365678,50536,,,,,240,309588,309588,3581,0,,,,,,41550,,0,5675266,54117,,,,,,0,5675266,54117
"2020-11-22","NJ","A",16761,14949,15,1812,40099,40099,2568,106,,466,5315142,49839,,,,,237,306007,306007,3968,0,,,,,,41303,,0,5621149,53807,,,,,,0,5621149,53807
"2020-11-21","NJ","A",16746,14934,34,1812,39993,39993,2552,168,,486,5265303,44973,,,,,232,302039,302039,4669,0,,,,,,41006,,0,5567342,49642,,,,,,0,5567342,49642
"2020-11-20","NJ","A",16712,14900,23,1812,39825,39825,2505,177,,452,5220330,43744,,,,,233,297370,297370,3626,0,,,,,,40705,,0,5517700,47370,,,,,,0,5517700,51552
"2020-11-19","NJ","A",16689,14877,34,1812,39648,39648,2471,400,,456,5176586,0,,,,,216,293744,293744,4182,0,,,,,,40415,,0,5470330,4182,,,,,,0,5466148,0
"2020-11-18","NJ","A",16655,14843,37,1812,39248,39248,2446,53,,461,5176586,87414,,,,,223,289562,289562,4043,0,,,,,,40090,,0,5466148,91457,,,,,,0,5466148,91457
"2020-11-17","NJ","A",16618,14817,38,1801,39195,39195,2320,89,,458,5089172,29376,,,,,155,285519,285519,4026,0,,,,,,39800,,0,5374691,33402,,,,,,0,5374691,35621
"2020-11-16","NJ","A",16580,14779,14,1801,39106,39106,2115,88,,417,5059796,0,,,,,137,281493,281493,2219,0,,,,,,39643,,0,5341289,2219,,,,,,0,5339070,0
"2020-11-15","NJ","A",16566,14765,18,1801,39018,39018,2004,82,,392,5059796,123805,,,,,135,279274,279274,4538,0,,,,,,39489,,0,5339070,128343,,,,,,0,5339070,128343
"2020-11-14","NJ","A",16548,14747,26,1801,38936,38936,2000,70,,370,4935991,37143,,,,,134,274736,274736,4353,0,,,,,,39253,,0,5210727,41496,,,,,,0,5210727,41496
"2020-11-13","NJ","A",16522,14721,27,1801,38866,38866,1909,105,,359,4898848,41236,,,,,129,270383,270383,3397,0,,,,,,39052,,0,5169231,44633,,,,,,0,5169231,44633
"2020-11-12","NJ","A",16495,14694,19,1801,38761,38761,1827,161,,360,4857612,36314,,,,,117,266986,266986,3491,0,,,,,,38809,,0,5124598,39805,,,,,,0,5124598,39805
"2020-11-11","NJ","A",16476,14676,15,1800,38600,38600,1801,147,,334,4821298,40664,,,,,104,263495,263495,3065,0,,,,,,38586,,0,5084793,43729,,,,,,0,5084793,47506
"2020-11-10","NJ","A",16461,14661,21,1800,38453,38453,1645,117,,327,4780634,0,,,,,98,260430,260430,3777,0,,,,,,38407,,0,5041064,3777,,,,,,0,5037287,0
"2020-11-09","NJ","A",16440,14640,11,1800,38336,38336,1537,36,,309,4780634,69586,,,,,94,256653,256653,2058,0,,,,,,38322,,0,5037287,71644,,,,,,0,5037287,73657
"2020-11-08","NJ","A",16429,14629,4,1800,38300,38300,1439,50,,284,4711048,0,,,,,89,254595,254595,2013,0,,,,,,38016,,0,4965643,2013,,,,,,0,4963630,0
"2020-11-07","NJ","A",16425,14625,9,1800,38250,38250,1392,72,,276,4711048,96992,,,,,76,252582,252582,3202,0,,,,,,38016,,0,4963630,100194,,,,,,0,4963630,100194
