"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-15","OH","A+",7654,7054,103,600,32878,32878,5296,614,5283,1311,6423123,38544,,,,,863,579357,529508,8755,0,,,,,,404810,,0,7002480,47299,,,,,,0,6952631,45585
"2020-12-14","OH","A+",7551,6972,59,579,32264,32264,5157,291,5209,1225,6384579,51544,,,,,827,570602,522467,7875,0,,,,,,392565,,0,6955181,59419,,,,,,0,6907046,58020
"2020-12-13","OH","A+",7492,6923,15,569,31973,31973,5152,170,5171,1186,6333035,46347,,,,,807,562727,515991,9266,0,,,,,,386749,,0,6895762,55613,,,,,,0,6849026,55013
"2020-12-12","OH","A+",7477,6911,51,566,31803,31803,5076,267,5151,1167,6286688,56590,,,,,760,553461,507325,11252,0,,,,,,380578,,0,6840149,67842,,,,,,0,6794013,66350
"2020-12-11","OH","A+",7426,6864,128,562,31536,31536,5091,394,5134,1207,6230098,55234,,,,,767,542209,497565,10359,0,,,,,,370932,,0,6772307,65593,,,,,,0,6727663,63721
"2020-12-10","OH","A+",7298,6772,111,526,31142,31142,5110,452,5090,1193,6174864,51268,,,,,760,531850,489078,11738,0,,,,,,361308,,0,6706714,63006,,,,,,0,6663942,61467
"2020-12-09","OH","A+",7187,6675,84,512,30690,30690,5198,464,5059,1229,6123596,40210,,,,,747,520112,478879,10094,0,,,,,,351268,,0,6643708,50304,,,,,,0,6602475,48368
"2020-12-08","OH","A+",7103,6601,81,502,30226,30226,5181,657,5010,1210,6083386,40355,,,,,744,510018,470721,25721,0,,,,,,341008,,0,6593404,66076,,,,,,0,6554107,52083
"2020-12-07","OH","A+",7022,6544,63,478,29569,29569,5121,336,4943,1163,6043031,42345,,,,,711,484297,458993,9273,0,,,,,,327078,,0,6527328,51618,,,,,,0,6502024,51371
"2020-12-06","OH","A+",6959,6488,13,471,29233,29233,5072,274,4903,1215,6000686,51453,,,,,725,475024,449967,7592,0,,,,,,321505,,0,6475710,59045,,,,,,0,6450653,58961
"2020-12-05","OH","A+",6946,6475,64,471,28959,28959,4978,286,4870,1163,5949233,56754,,,,,702,467432,442459,10469,0,,,,,,315453,,0,6416665,67223,,,,,,0,6391692,66889
"2020-12-04","OH","A+",6882,6431,129,451,28673,28673,5092,392,4847,1208,5892479,68540,,,,,714,456963,432324,10114,0,,,,,,306950,,0,6349442,78654,,,,,,0,6324803,78016
"2020-12-03","OH","A+",6753,6304,82,449,28281,28281,5142,396,4814,1204,5823939,44123,,,,,708,446849,422848,8921,0,,,,,,298332,,0,6270788,53044,,,,,,0,6246787,52756
"2020-12-02","OH","A+",6671,6224,123,447,27885,27885,5208,436,4781,1222,5779816,26978,,,,,714,437928,414215,7835,0,,,,,,289768,,0,6217744,34813,,,,,,0,6194031,34413
"2020-12-01","OH","A+",6548,6111,119,437,27449,27449,5226,585,4729,1233,5752838,45304,,,,,693,430093,406780,9030,0,,,,,,280716,,0,6182931,54334,,,,,,0,6159618,53713
"2020-11-30","OH","A+",6429,6009,30,420,26864,26864,5060,357,4682,1180,5707534,38481,,,,,682,421063,398371,6631,0,,,,,,271326,,0,6128597,45112,,,,,,0,6105905,44723
"2020-11-29","OH","A+",6399,5979,21,420,26507,26507,4908,245,4644,1142,5669053,47047,,,,,643,414432,392129,7729,0,,,,,,266341,,0,6083485,54776,,,,,,0,6061182,54632
"2020-11-28","OH","A+",6378,5963,32,415,26262,26262,4740,302,4608,1120,5622006,102273,,,,,638,406703,384544,6895,0,,,,,,261353,,0,6028709,109168,,,,,,0,6006550,108735
"2020-11-27","OH","A+",6346,5932,72,414,25960,25960,4535,474,4571,1113,5519733,45588,,,,,635,399808,378082,17065,0,,,,,,254775,,0,5919541,62653,,,,,,0,5897815,62047
"2020-11-26","OH","A+",6274,5869,0,405,25486,25486,4541,0,4527,1077,5474145,0,,,,,615,382743,361623,0,0,,,,,,242146,,0,5856888,0,,,,,,0,5835768,0
"2020-11-25","OH","A+",6274,5869,156,405,25486,25486,4541,417,4527,1077,5474145,41761,,,,,615,382743,361623,10835,0,,,,,,242146,,0,5856888,52596,,,,,,0,5835768,52080
"2020-11-24","OH","A+",6118,5728,98,390,25069,25069,4449,364,4483,1046,5432384,111699,,,,,598,371908,351304,8604,0,,,,,,236618,,0,5804292,120303,,,,,,0,5783688,129983
"2020-11-23","OH","A+",6020,5635,24,385,24705,24705,4358,282,4454,1079,5320685,0,,,,,573,363304,344054,11885,0,,,,,,230678,,0,5683989,11885,,,,,,0,5653705,0
"2020-11-22","OH","A+",5996,5612,12,384,24423,24423,4181,205,4418,1013,5320685,54376,,,,,538,351419,333020,8133,0,,,,,,227276,,0,5672104,62509,,,,,,0,5653705,61785
"2020-11-21","OH","A+",5984,5602,29,382,24218,24218,3987,260,4394,966,5266309,57543,,,,,482,343286,325611,7863,0,,,,,,224068,,0,5609595,65406,,,,,,0,5591920,65003
"2020-11-20","OH","A+",5955,5578,65,377,23958,23958,3936,398,4360,966,5208766,59646,,,,,488,335423,318151,8808,0,,,,,,220281,,0,5544189,68454,,,,,,0,5526917,67694
"2020-11-19","OH","A+",5890,5522,63,368,23560,23560,3829,343,4318,943,5149120,97043,,,,,479,326615,310103,7787,0,,,,,,216619,,0,5475735,104830,,,,,,0,5459223,110759
"2020-11-18","OH","A+",5827,5462,55,365,23217,23217,3716,371,4280,923,5052077,0,,,,,472,318828,302516,6385,0,,,,,,212713,,0,5370905,6385,,,,,,0,5348464,0
"2020-11-17","OH","A+",5772,5412,30,360,22846,22846,3648,368,4250,897,5052077,38602,,,,,441,312443,296387,7079,0,,,,,,208945,,0,5364520,45681,,,,,,0,5348464,45396
"2020-11-16","OH","A+",5742,5387,20,355,22478,22478,3387,213,4223,850,5013475,49545,,,,,407,305364,289593,7268,0,,,,,,205198,,0,5318839,56813,,,,,,0,5303068,56588
"2020-11-15","OH","A+",5722,5373,8,349,22265,22265,3175,189,4204,755,4963930,59158,,,,,368,298096,282550,7853,0,,,,,,202937,,0,5262026,67011,,,,,,0,5246480,66818
"2020-11-14","OH","A+",5714,5367,14,347,22076,22076,3104,220,4187,767,4904772,54519,,,,,356,290243,274890,7715,0,,,,,,200715,,0,5195015,62234,,,,,,0,5179662,62071
"2020-11-13","OH","A+",5700,5354,42,346,21856,21856,2981,298,4164,735,4850253,58213,,,,,347,282528,267338,8071,0,,,,,,197674,,0,5132781,66284,,,,,,0,5117591,66052
"2020-11-12","OH","A+",5658,5316,35,342,21558,21558,3024,268,4143,756,4792040,49613,,,,,332,274457,259499,7101,0,,,,,,194846,,0,5066497,56714,,,,,,0,5051539,56602
"2020-11-11","OH","A+",5623,5285,76,338,21290,21290,2880,253,4122,716,4742427,39680,,,,,328,267356,252510,5874,0,,,,,,191950,,0,5009783,45554,,,,,,0,4994937,44930
"2020-11-10","OH","A+",5547,5212,23,335,21037,21037,2747,386,4086,656,4702747,39595,,,,,327,261482,247260,6508,0,,,,,,189079,,0,4964229,46103,,,,,,0,4950007,45760
"2020-11-09","OH","A+",5524,5193,7,331,20651,20651,2533,154,4047,628,4663152,44960,,,,,312,254974,241095,4706,0,,,,,,186254,,0,4918126,49666,,,,,,0,4904247,49526
"2020-11-08","OH","A+",5517,5186,11,331,20497,20497,2286,102,4013,584,4618192,55011,,,,,295,250268,236529,4541,0,,,,,,184556,,0,4868460,59552,,,,,,0,4854721,59369
"2020-11-07","OH","A+",5506,5177,12,329,20395,20395,2188,149,4005,575,4563181,102545,,,,,283,245727,232171,5549,0,,,,,,182878,,0,4808908,108094,,,,,,0,4795352,112835
"2020-11-06","OH","A+",5494,5165,33,329,20246,20246,2170,231,3991,547,4460636,0,,,,,280,240178,226796,5008,0,,,,,,180758,,0,4700814,5008,,,,,,0,4682517,0
"2020-11-05","OH","A+",5461,5133,33,328,20015,20015,2075,214,3969,541,4460636,46429,,,,,270,235170,221881,4961,0,,,,,,178646,,0,4695806,51390,,,,,,0,4682517,51281
"2020-11-04","OH","A+",5428,5102,55,326,19801,19801,1982,186,3946,502,4414207,35630,,,,,272,230209,217119,4071,0,,,,,,176415,,0,4644416,39701,,,,,,0,4631236,39309
"2020-11-03","OH","A+",5373,5049,33,324,19615,19615,1960,213,3924,509,4378577,35583,,,,,263,226138,213350,4229,0,,,,,,174130,,0,4604715,39812,,,,,,0,4591927,39659
"2020-11-02","OH","A+",5340,5026,37,314,19402,19402,1822,182,3899,472,4342994,37236,,,,,264,221909,209274,2909,0,,,,,,171657,,0,4564903,40145,,,,,,0,4552268,39961
"2020-11-01","OH","A+",5303,4990,2,313,19220,19220,1687,88,3876,453,4305758,49775,,,,,247,219000,206549,3303,0,,,,,,170259,,0,4524758,53078,,,,,,0,4512307,52968
"2020-10-31","OH","A+",5301,4988,10,313,19132,19132,1666,163,3859,432,4255983,54829,,,,,235,215697,203356,2915,0,,,,,,168884,,0,4471680,57744,,,,,,0,4459339,57576
"2020-10-30","OH","A+",5291,4979,16,312,18969,18969,1629,169,3841,427,4201154,45001,,,,,226,212782,200609,3845,0,,,,,,167035,,0,4413936,48846,,,,,,0,4401763,48746
"2020-10-29","OH","A+",5275,4963,19,312,18800,18800,1536,194,3816,416,4156153,47463,,,,,226,208937,196864,3590,0,,,,,,165302,,0,4365090,51053,,,,,,0,4353017,50876
