"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-15","OK","A+",2086,,14,,14408,14408,1741,46,,471,2147957,37478,,,2147957,,,241991,241991,2224,0,7147,,,,242962,206896,,0,2389948,39702,101297,,,,,0,2395251,45131
"2020-12-14","OK","A+",2072,,8,,14362,14362,1664,34,,452,2110479,0,,,2110479,,,239767,239767,2099,0,7147,,,,235774,202532,,0,2350246,2099,101297,,,,,0,2350120,0
"2020-12-13","OK","A+",2064,,22,,14328,14328,1664,158,,452,2110479,0,,,2110479,,,237668,237668,4332,0,7147,,,,235774,200512,,0,2348147,4332,101297,,,,,0,2350120,0
"2020-12-12","OK","A+",2042,,35,,14170,14170,1664,198,,452,2110479,19113,,,2110479,,,233336,233336,3983,0,7147,,,,235774,198154,,0,2343815,23096,101297,,,,,0,2350120,22081
"2020-12-11","OK","A+",2007,,27,,13972,13972,1730,190,,456,2091366,19198,,,2091366,,,229353,229353,3900,0,7147,,,,232890,195643,,0,2320719,23098,101297,,,,,0,2328039,23303
"2020-12-10","OK","A+",1980,,35,,13782,13782,1709,146,,459,2072168,16250,,,2072168,,,225453,225453,2460,0,6539,,,,229256,194229,,0,2297621,18710,98949,,,,,0,2304736,18867
"2020-12-09","OK","A+",1945,,23,,13636,13636,1745,244,,465,2055918,16945,,,2055918,,,222993,222993,2307,0,6539,,,,226305,191525,,0,2278911,19252,98949,,,,,0,2285869,19091
"2020-12-08","OK","A+",1922,,11,,13392,13392,1698,19,,469,2038973,30144,,,2038973,,,220686,220686,2297,0,6539,,,,224116,189020,,0,2259659,32441,98949,,,,,0,2266778,39001
"2020-12-07","OK","A+",1911,,15,,13373,13373,1721,254,,472,2008829,0,,,2008829,,,218389,218389,1903,0,6539,,,,218948,184736,,0,2227218,1903,98949,,,,,0,2227777,0
"2020-12-06","OK","A+",1896,,22,,13119,13119,1721,-9,,472,2008829,0,,,2008829,,,216486,216486,3241,0,6539,,,,218948,182942,,0,2225315,3241,98949,,,,,0,2227777,0
"2020-12-05","OK","A+",1874,,14,,13128,13128,1721,179,,472,2008829,26060,,,2008829,,,213245,213245,4370,0,6539,,,,218948,180810,,0,2222074,30430,98949,,,,,0,2227777,27995
"2020-12-04","OK","A+",1860,,24,,12949,12949,1687,176,,482,1982769,25328,,,1982769,,,208875,208875,4827,0,6248,,,,213944,177564,,0,2191644,30155,97315,,,,,0,2199782,28317
"2020-12-03","OK","A+",1836,,24,,12773,12773,1734,195,,474,1957441,16703,,,1957441,,,204048,204048,1707,0,6248,,,,210176,174169,,0,2161489,18410,97315,,,,,0,2171465,20054
"2020-12-02","OK","A+",1812,,54,,12578,12578,1782,285,,475,1940738,17270,,,1940738,,,202341,202341,2859,0,6248,,,,206750,170905,,0,2143079,20129,97315,,,,,0,2151411,20663
"2020-12-01","OK","A+",1758,,15,,12293,12293,1718,35,,461,1923468,50000,,,1923468,,,199482,199482,1737,0,6248,,,,203926,167406,,0,2122950,51737,97315,,,,,0,2130748,58811
"2020-11-30","OK","A+",1743,,7,,12258,12258,1653,37,,432,1873468,0,,,1873468,,,197745,197745,2200,0,5828,,,,195044,163727,,0,2071213,2200,95129,,,,,0,2071937,0
"2020-11-29","OK","A+",1736,,19,,12221,12221,1653,141,,432,1873468,0,,,1873468,,,195545,195545,1721,0,5828,,,,195044,161955,,0,2069013,1721,95129,,,,,0,2071937,0
"2020-11-28","OK","A+",1717,,13,,12080,12080,1653,182,,432,1873468,0,,,1873468,,,193824,193824,6257,0,5828,,,,195044,159894,,0,2067292,6257,95129,,,,,0,2071937,0
"2020-11-27","OK","A+",1704,,24,,11898,11898,1653,190,,432,1873468,0,,,1873468,,,187567,187567,3225,0,5828,,,,195044,152969,,0,2061035,3225,95129,,,,,0,2071937,0
"2020-11-26","OK","A+",1680,,0,,11708,11708,1653,0,,432,1873468,24905,,,1873468,,,184342,184342,0,0,5828,,,,195044,149345,,0,2057810,24905,95129,,,,,0,2071937,28445
"2020-11-25","OK","A+",1680,,16,,11708,11708,1604,263,,432,1848563,18164,,,1848563,,,184342,184342,3732,0,5828,,,,191157,149345,,0,2032905,21896,95129,,,,,0,2043492,20100
"2020-11-24","OK","A+",1664,,15,,11445,11445,1566,77,,446,1830399,40754,,,1830999,,,180610,180610,2736,0,5828,,,,188655,145686,,0,2011009,43490,95129,,,,,0,2023392,48353
"2020-11-23","OK","A+",1649,,15,,11368,11368,1505,35,,450,1789645,0,,,1789645,,,177874,177874,3544,0,5828,,,,180908,142381,,0,1967519,3544,95129,,,,,0,1975039,0
"2020-11-22","OK","A+",1634,,10,,11333,11333,1505,149,,450,1789645,0,,,1789645,,,174330,174330,3406,0,5828,,,,180908,140312,,0,1963975,3406,95129,,,,,0,1975039,0
"2020-11-21","OK","A+",1624,,21,,11184,11184,1505,164,,450,1789645,49720,,,1789645,,,170924,170924,3663,0,5828,,,,180908,137887,,0,1960569,53383,95129,,,,,0,1975039,57400
"2020-11-20","OK","A+",1603,,15,,11020,11020,1428,184,,421,1739925,13704,,,1739925,,,167261,167261,2921,0,5828,,,,173518,134934,,0,1907186,16625,95129,,,,,0,1917639,15419
