"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-15","OR","A+",1161,,0,,5503,5503,601,0,,134,2209921,0,,,2171369,,68,95010,74629,0,0,,,,,133562,5870,,0,2304931,0,,,,,,0,2304931,0
"2020-12-14","OR","A+",1161,,6,,5503,5503,601,108,,134,2209921,58570,,,2171369,,68,95010,74629,1157,0,,,,,133562,5870,,0,2304931,62160,,,,,,0,2304931,62160
"2020-12-13","OR","A+",1155,,5,,5395,5395,625,0,,136,2151351,0,,,2113901,,61,93853,74629,1014,0,,,,,128870,5870,,0,2242771,0,,,,,,0,2242771,0
"2020-12-12","OR","A+",1150,,12,,5395,5395,625,0,,136,2151351,0,,,2113901,,61,92839,74629,1419,0,,,,,128870,5870,,0,2242771,0,,,,,,0,2242771,0
"2020-12-11","OR","A+",1138,,15,,5395,5395,625,94,,136,2151351,24662,,,2113901,,61,91420,74629,1582,0,,,,,128870,5870,,0,2242771,26244,,,,,,0,2242771,26244
"2020-12-10","OR","A+",1123,,13,,5301,5301,618,61,,138,2126689,21154,,,2089471,,60,89838,74629,1551,0,,,,,127056,5870,,0,2216527,22705,,,,,,0,2216527,22705
"2020-12-09","OR","A+",1110,,30,,5240,5240,642,176,,139,2105535,17457,,,2068392,,62,88287,74629,1205,0,,,,,125430,5870,,0,2193822,18662,,,,,,0,2193822,18662
"2020-12-08","OR","A+",1080,,35,,5064,5064,608,52,,136,2088078,20205,,,2051038,,59,87082,74629,1294,0,,,,,124122,5870,,0,2175160,21499,,,,,,0,2175160,21499
"2020-12-07","OR","A+",1045,,12,,5012,5012,622,153,,128,2067873,62256,,,2031230,,65,85788,74629,1292,0,,,,,122431,5870,,0,2153661,15330,,,,,,0,2153661,15330
"2020-12-06","OR","A+",1033,,6,,4859,4859,596,0,,127,2005617,0,,,2017104,,59,84496,74629,1253,0,,,,,121227,5870,,0,2138331,18821,,,,,,0,2138331,18821
"2020-12-05","OR","A+",1027,,24,,4859,4859,596,0,,127,2005617,0,,,1999894,,59,83243,74629,1806,0,,,,,119616,5870,,0,2119510,32456,,,,,,0,2119510,32456
"2020-12-04","OR","A+",1003,,30,,4859,4859,596,56,,127,2005617,41556,,,1970033,,59,81437,74629,2174,0,,,,,117021,5870,,0,2087054,44007,,,,,,0,2087054,44007
"2020-12-03","OR","A+",973,,20,,4803,4803,629,58,,122,1964061,20279,,,1929118,,52,79263,74629,1103,0,,,,,113929,5870,,0,2043047,21382,,,,,,-1043744,2043047,21382
"2020-12-02","OR","A+",953,,17,,4745,4745,620,96,,113,1943782,18106,,,1909535,,56,78160,74629,1506,0,,,,,112130,5870,,0,2021665,19350,,,,,1043744,5148,2021665,19350
"2020-12-01","OR","A+",936,,24,,4649,4649,625,306,,120,1925676,956990,,,1892019,,56,76654,73168,1223,0,,,,,110296,5870,,0,2002315,22535,,,,,1038596,10477,2002315,22535
"2020-11-30","OR","A+",912,,7,,4343,4343,584,0,,117,968686,0,,,1871210,,50,75431,67515,1311,0,,,,,108570,5870,,0,1979780,12383,,,,,1028119,0,1979780,12383
"2020-11-29","OR","A+",905,,9,,4343,4343,569,0,,123,968686,8042,,,1860056,,50,74120,67515,1614,0,,,,,107341,5870,,0,1967397,12968,,,,,1028119,0,1967397,12968
"2020-11-28","OR","A+",896,,11,,4343,4343,569,0,,123,960644,40,,,1848350,,50,72506,67515,1674,0,,,,,106079,5870,,0,1954429,18656,,,,,1028119,0,1954429,18656
"2020-11-27","OR","A+",885,,3,,4343,4343,569,81,,123,960604,-53,,,1831334,,50,70832,67515,826,0,,,,,104439,5870,,0,1935773,20307,,,,,1028119,2398,1935773,20307
"2020-11-26","OR","A+",882,,15,,4262,4262,532,0,,118,960657,188,,,1812868,,48,70006,65252,1503,0,,,,,102598,5870,,0,1915466,23681,,,,,1025721,0,1915466,23681
"2020-11-25","OR","A+",867,,20,,4262,4262,532,86,,118,960469,3220,,,1791382,,48,68503,65252,1170,0,,,,,100403,5870,,0,1891785,22577,,,,,1025721,4348,1891785,22577
"2020-11-24","OR","A+",847,,21,,4176,4176,534,56,,116,957249,7300,,,1770571,,45,67333,64124,1000,0,,,,,98637,5870,,0,1869208,27029,,,,,1021373,8252,1869208,27029
"2020-11-23","OR","A+",826,,6,,4120,4120,492,150,,119,949949,5505,,,1745661,,41,66333,63172,1163,0,,,,,96518,5870,,0,1842179,16127,,,,,1013121,22377,1842179,16127
"2020-11-22","OR","A+",820,,1,,3970,3970,458,0,,99,944444,6865,,,1730812,,38,65170,59166,1502,0,,,,,95240,5870,,0,1826052,13396,,,,,990744,0,1826052,13396
"2020-11-21","OR","A+",819,,7,,3970,3970,458,0,,99,937579,6001,,,1718496,,38,63668,59166,1493,0,,,,,94160,5870,,0,1812656,24168,,,,,990744,0,1812656,24168
"2020-11-20","OR","A+",812,,4,,3970,3970,458,35,,99,931578,7159,,,1696341,,38,62175,59166,1302,0,,,,,92147,5870,,0,1788488,24012,,,,,990744,8410,1788488,24012
"2020-11-19","OR","A+",808,,20,,3935,3935,497,47,,107,924419,7238,,,1673967,,41,60873,57915,1204,0,,,,,90509,5870,,0,1764476,21039,,,,,982334,8410,1764476,21039
"2020-11-18","OR","A+",788,,10,,3888,3888,484,83,,103,917181,5929,,,1654174,,42,59669,56743,1099,0,,,,,89263,5870,,0,1743437,18803,,,,,973924,6986,1743437,18803
"2020-11-17","OR","A+",778,,13,,3805,3805,445,51,,102,911252,5916,,,1636722,,40,58570,55686,924,0,,,,,87912,5870,,0,1724634,15277,,,,,966938,6807,1724634,15277
"2020-11-16","OR","A+",765,,4,,3754,3754,413,126,,93,905336,4237,,,1622568,,40,57646,54795,766,0,,,,,86789,5870,,0,1709357,12869,,,,,960131,19728,1709357,12869
"2020-11-15","OR","A+",761,,2,,3628,3628,356,0,,70,901099,5552,,,1610638,,30,56880,52193,862,0,,,,,85850,5870,,0,1696488,13876,,,,,940403,0,1696488,13876
"2020-11-14","OR","A+",759,,6,,3628,3628,356,0,,70,895547,7337,,,1597704,,30,56018,52193,1081,0,,,,,84908,5870,,0,1682612,20150,,,,,940403,0,1682612,20150
"2020-11-13","OR","A+",753,,7,,3628,3628,356,44,,70,888210,6212,,,1579019,,30,54937,52193,1058,0,,,,,83443,5870,,0,1662462,20470,,,,,940403,7229,1662462,20470
"2020-11-12","OR","A+",746,,4,,3584,3584,342,31,,71,881998,6425,,,1559879,,27,53879,51176,1109,0,,,,,82113,5870,,0,1641992,16325,,,,,933174,7476,1641992,16325
"2020-11-11","OR","A+",742,,5,,3553,3553,345,42,,77,875573,6266,,,1544831,,27,52770,50125,861,0,,,,,80836,5870,,0,1625667,17661,,,,,925698,7097,1625667,17661
