"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-15","RI","A+",1570,,15,,5616,5616,455,82,,53,513152,2856,,,1680555,,29,75237,75237,1166,0,,,,,90879,4585,1771434,12476,1771434,12476,,,,,588389,4022,,0
"2020-12-14","RI","A+",1555,,17,,5534,5534,433,0,,47,510296,1973,,,1669380,,31,74071,74071,552,0,,,,,89578,4537,1758958,7648,1758958,7648,,,,,584367,2525,,0
"2020-12-13","RI","A+",1538,,12,,5534,5534,433,48,,47,508323,3115,,,1662402,,31,73519,73519,870,0,,,,,88908,4537,1751310,14114,1751310,14114,,,,,581842,3985,,0
"2020-12-12","RI","A+",1526,,17,,5486,5486,440,198,,55,505208,2337,,,1649379,,32,72649,72649,1831,0,,,,,87817,4491,1737196,19629,1737196,19629,,,,,577857,4168,,0
"2020-12-11","RI","A+",1509,,11,,5288,5288,466,0,,48,502871,3914,,,1631487,,25,70818,70818,1571,0,,,,,86080,4288,1717567,22765,1717567,22765,,,,,573689,5485,,0
"2020-12-10","RI","A+",1498,,14,,5288,5288,466,72,,48,498957,1227,,,1610610,,25,69247,69247,948,0,,,,,84192,4288,1694802,13473,1694802,13473,,,,,568204,2175,,0
"2020-12-09","RI","A+",1484,,14,,5216,5216,461,83,,42,497730,3911,,,1598165,,24,68299,68299,1232,0,,,,,83164,4227,1681329,18041,1681329,18041,,,,,566029,5143,,0
"2020-12-08","RI","A+",1470,,22,,5133,5133,444,94,,43,493819,2677,,,1581776,,25,67067,67067,1249,0,,,,,81512,4167,1663288,11667,1663288,11667,,,,,560886,3926,,0
"2020-12-07","RI","A+",1448,,11,,5039,5039,422,0,,45,491142,2169,,,1571493,,30,65818,65818,844,0,,,,,80128,4104,1651621,7856,1651621,7856,,,,,556960,3013,,0
"2020-12-06","RI","A+",1437,,8,,5039,5039,422,55,,45,488973,2913,,,1564614,,30,64974,64974,1030,0,,,,,79151,4104,1643765,13774,1643765,13774,,,,,553947,3943,,0
"2020-12-05","RI","A+",1429,,16,,4984,4984,410,141,,42,486060,3138,,,1552033,,30,63944,63944,1807,0,,,,,77958,4065,1629991,21143,1629991,21143,,,,,550004,4945,,0
"2020-12-04","RI","A+",1413,,13,,4843,4843,408,54,,45,482922,2168,,,1533056,,29,62137,62137,1415,0,,,,,75792,3939,1608848,14841,1608848,14841,,,,,545059,3583,,0
"2020-12-03","RI","A+",1400,,9,,4789,4789,409,57,,45,480754,2853,,,1519744,,31,60722,60722,1717,0,,,,,74263,3892,1594007,19476,1594007,19476,,,,,541476,4570,,0
"2020-12-02","RI","A+",1391,,11,,4732,4732,408,62,,45,477901,2094,,,1502098,,28,59005,59005,1099,0,,,,,72433,3839,1574531,12617,1574531,12617,,,,,536906,3193,,0
"2020-12-01","RI","A+",1380,,7,,4670,4670,410,88,,41,475807,2646,,,1490762,,23,57906,57906,1183,0,,,,,71152,3777,1561914,11754,1561914,11754,,,,,533713,3829,,0
"2020-11-30","RI","A+",1373,,8,,4582,4582,365,0,,40,473161,2075,,,1480202,,19,56723,56723,651,0,,,,,69958,3737,1550160,7114,1550160,7114,,,,,529884,2726,,0
"2020-11-29","RI","A+",1365,,2,,4582,4582,365,52,,40,471086,2675,,,1473814,,19,56072,56072,1055,0,,,,,69232,3737,1543046,12791,1543046,12791,,,,,527158,3730,,0
"2020-11-28","RI","A+",1363,,17,,4530,4530,349,122,,39,468411,1514,,,1462149,,19,55017,55017,1063,0,,,,,68106,3701,1530255,11234,1530255,11234,,,,,523428,2577,,0
"2020-11-27","RI","A+",1346,,4,,4408,4408,319,0,,37,466897,1533,,,1451994,,23,53954,53954,463,0,,,,,67027,3619,1519021,6858,1519021,6858,,,,,520851,1996,,0
"2020-11-26","RI","A+",1342,,7,,4408,4408,319,82,,37,465364,2575,,,1445675,,23,53491,53491,1174,0,,,,,66488,3619,1512163,19968,1512163,19968,,,,,518855,3749,,0
"2020-11-25","RI","A+",1335,,10,,4326,4326,357,74,,35,462789,-1430,,,1426986,,16,52317,52317,893,0,,,,,65209,3510,1492195,12350,1492195,12350,,,,,515106,-537,,0
"2020-11-24","RI","A+",1325,,16,,4252,4252,323,75,,30,464219,3127,,,1415638,,16,51424,51424,851,0,,,,,64207,3469,1479845,11763,1479845,11763,,,,,515643,3978,,0
"2020-11-23","RI","A+",1309,,6,,4177,4177,285,0,,30,461092,1680,,,1404823,,14,50573,50573,429,0,,,,,63259,3436,1468082,7679,1468082,7679,,,,,511665,2109,,0
"2020-11-22","RI","A+",1303,,3,,4177,4177,285,31,,30,459412,3156,,,1397663,,14,50144,50144,738,0,,,,,62740,3436,1460403,18053,1460403,18053,,,,,509556,3894,,0
"2020-11-21","RI","A+",1300,,6,,4146,4146,293,100,,28,456256,3325,,,1380451,,14,49406,49406,1405,0,,,,,61899,3402,1442350,26322,1442350,26322,,,,,505662,4730,,0
"2020-11-20","RI","A+",1294,,6,,4046,4046,288,33,,24,452931,3093,,,1355657,,14,48001,48001,1050,0,,,,,60371,3314,1416028,14865,1416028,14865,,,,,500932,4143,,0
"2020-11-19","RI","A+",1288,,4,,4013,4013,298,60,,26,449838,2678,,,1341975,,13,46951,46951,1040,0,,,,,59188,3277,1401163,16598,1401163,16598,,,,,496789,3718,,0
"2020-11-18","RI","A+",1284,,6,,3953,3953,284,59,,22,447160,3438,,,1326524,,13,45911,45911,1383,0,,,,,58041,3233,1384565,18973,1384565,18973,,,,,493071,4821,,0
"2020-11-17","RI","A+",1278,,8,,3894,3894,265,37,,22,443722,2245,,,1309037,,10,44528,44528,605,0,,,,,56555,3195,1365592,9875,1365592,9875,,,,,488250,2850,,0
"2020-11-16","RI","A+",1270,,5,,3857,3857,256,0,,21,441477,1336,,,1299879,,12,43923,43923,481,0,,,,,55838,3172,1355717,6195,1355717,6195,,,,,485400,1817,,0
"2020-11-15","RI","A+",1265,,8,,3857,3857,256,28,,21,440141,2427,,,1294226,,12,43442,43442,679,0,,,,,55296,3172,1349522,13763,1349522,13763,,,,,483583,3106,,0
"2020-11-14","RI","A+",1257,,3,,3829,3829,258,73,,23,437714,2313,,,1281215,,15,42763,42763,1234,0,,,,,54544,3147,1335759,20376,1335759,20376,,,,,480477,3547,,0
"2020-11-13","RI","A+",1254,,4,,3756,3756,250,55,,27,435401,1751,,,1262119,,14,41529,41529,765,0,,,,,53264,3086,1315383,14097,1315383,14097,,,,,476930,2516,,0
"2020-11-12","RI","A+",1250,,7,,3701,3701,232,45,,28,433650,2142,,,1248876,,17,40764,40764,988,0,,,,,52410,3052,1301286,20141,1301286,20141,,,,,474414,3130,,0
"2020-11-11","RI","A+",1243,,6,,3656,3656,220,35,,25,431508,2429,,,1229792,,17,39776,39776,978,0,,,,,51353,3020,1281145,13870,1281145,13870,,,,,471284,3407,,0
"2020-11-10","RI","A+",1237,,4,,3621,3621,218,37,,26,429079,2057,,,1216964,,18,38798,38798,789,0,,,,,50311,2989,1267275,9636,1267275,9636,,,,,467877,2846,,0
"2020-11-09","RI","A+",1233,,1,,3584,3584,212,0,,27,427022,1181,,,1208143,,17,38009,38009,266,0,,,,,49496,2958,1257639,3975,1257639,3975,,,,,465031,1447,,0
"2020-11-08","RI","A+",1232,,1,,3584,3584,212,26,,27,425841,2501,,,1204472,,17,37743,37743,568,0,,,,,49192,2958,1253664,13840,1253664,13840,,,,,463584,3069,,0
"2020-11-07","RI","A+",1231,,7,,3558,3558,210,70,,25,423340,6073,,,1191236,,16,37175,37175,795,0,,,,,48588,2935,1239824,21908,1239824,21908,,,,,460515,6868,,0
"2020-11-06","RI","A+",1224,,2,,3488,3488,187,16,,21,417267,2589,,,1170141,,12,36380,36380,630,0,,,,,47775,2891,1217916,17165,1217916,17165,,,,,453647,3219,,0
"2020-11-05","RI","A+",1222,,8,,3472,3472,182,40,,20,414678,2779,,,1153730,,11,35750,35750,628,0,,,,,47021,2881,1200751,16392,1200751,16392,,,,,450428,3407,,0
"2020-11-04","RI","A+",1214,,2,,3432,3432,169,26,,21,411899,2918,,,1138055,,11,35122,35122,579,0,,,,,46304,2856,1184359,14300,1184359,14300,,,,,447021,3497,,0
